psu,hh,idcode,hhid,q02,q03,q04,q05y,q05m,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,psu_hh_idcode
1,2,1,102,1,1,19600711,52,1,1.0,1.0,2.0,0,1,2,-999.0,3.0,2.0,80.0,-999.0,2,-999.0,3.0,2.0,80.0,-999.0,1_2_1
1,2,2,102,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,1_2_2
1,3,1,103,1,1,19540203,58,7,1.0,1.0,2.0,0,1,2,-999.0,2.0,2.0,85.0,-999.0,2,-999.0,2.0,2.0,67.0,-999.0,1_3_1
1,3,2,103,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,1_3_2
1,3,3,103,1,4,19850825,27,0,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,1_3_3
1,5,1,105,1,1,19580322,54,5,1.0,1.0,2.0,0,1,2,-999.0,5.0,2.0,-999.0,-999.0,2,-999.0,3.0,2.0,-999.0,-999.0,1_5_1
1,5,2,105,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,1_5_2
1,5,3,105,1,4,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,1_5_3
1,5,4,105,1,4,19750701,37,2,5.0,-999.0,-999.0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,1_5_4
1,7,2,107,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,1_7_2
1,10,2,110,2,2,-999,-999,-999,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,1_10_2
1,11,1,111,1,1,19680126,44,7,1.0,-999.0,-999.0,0,1,2,-999.0,5.0,1.0,-999.0,-999.0,2,-999.0,5.0,1.0,-999.0,-999.0,1_11_1
