psu_hh_idcode,subjective_poverty_1,subjective_poverty_2,subjective_poverty_3,subjective_poverty_4,subjective_poverty_5,subjective_poverty_6,subjective_poverty_7,subjective_poverty_8,subjective_poverty_9,subjective_poverty_10,house_q02,house_q03,house_q04,house_q05y,house_q05m,house_q06,house_q07,house_q08,house_q09,house_q10,house_q11,house_q12,house_q13,house_q14,house_q15,house_q16,house_q17,house_q18,house_q19,house_q20,house_q21,house_q22,edu_q01,edu_q02,edu_q03,edu_q04,edu_q05,edu_q06,edu_q07,edu_q08,edu_q09,edu_q10,edu_q11,edu_q12,edu_q13,edu_q14,edu_q15,edu_q16,edu_q17,edu_q18,edu_q19,edu_q20,edu_q21,edu_q22,edu_q23,edu_q24,edu_q25,edu_q26,edu_q27,edu_q28,edu_q29,edu_q30,edu_q31,edu_q32,edu_q33,edu_q34,edu_q35,edu_q36,edu_q37,edu_q38,edu_q39,edu_q40,edu_q41,edu_q42,edu_q43,edu_q44,edu_q45,edu_q46,edu_q47,edu_q48,edu_q49,edu_q50,edu_q51,edu_q52,edu_q53,edu_q54,edu_q55,edu_q56,edu_q57,edu_q58,edu_q59,edu_q60,edu_q61,edu_q62,edu_q63,edu_q64,edu_q65,edu_q66
30_8_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19680615.0,44.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,1.0,,66.0,2.0,,3.0,1.0,,63.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194_1_2,1,0,0,0,0,0,0,0,0,0,2.0,2.0,19640910.0,48.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,,1.0,1.0,,67.0,2.0,,1.0,1.0,,75.0,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224_6_1,0,0,1,0,0,0,0,0,0,0,1.0,1.0,19510317.0,61.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,86.0,,2.0,,1.0,2.0,74.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323_10_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19460402.0,66.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,2.0,81.0,,2.0,,2.0,2.0,77.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428_10_1,0,0,0,1,0,0,0,0,0,0,2.0,1.0,19400407.0,72.0,5.0,4.0,,,0.0,1.0,2.0,,1.0,2.0,80.0,,2.0,,1.0,2.0,72.0,,1.0,1.0,1.0,1.0,4.0,1.0,0.0,2.0,,,14.0,,,2.0,,,14.0,20.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809_6_2,0,0,1,0,0,0,0,0,0,0,2.0,2.0,19570129.0,55.0,7.0,1.0,1.0,1.0,0.0,1.0,2.0,,3.0,1.0,,71.0,2.0,,2.0,1.0,,77.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138_2_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19600626.0,52.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,,3.0,1.0,,76.0,2.0,,3.0,2.0,77.0,,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329_1_1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,19530717.0,59.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,65.0,,2.0,,1.0,2.0,80.0,,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,2.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409_8_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19660201.0,46.0,7.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,1.0,,83.0,2.0,,1.0,1.0,,85.0,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186_4_2,0,0,0,0,1,0,0,0,0,0,2.0,2.0,19630812.0,49.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,,1.0,1.0,,71.0,2.0,,1.0,1.0,,78.0,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688_5_1,0,0,0,0,0,1,0,0,0,0,1.0,1.0,19680328.0,44.0,6.0,1.0,1.0,2.0,0.0,1.0,2.0,,10.0,1.0,,72.0,2.0,,10.0,1.0,,88.0,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,15.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364_6_2,0,0,1,0,0,0,0,0,0,0,2.0,2.0,19740517.0,38.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,,3.0,1.0,,54.0,2.0,,4.0,2.0,55.0,,1.0,1.0,1.0,1.0,8.0,2.0,3.0,2.0,,,2.0,,,2.0,,,2.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528_8_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19530325.0,59.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,1.0,,93.0,2.0,,1.0,2.0,84.0,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,,,13.0,,,2.0,,,13.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758_4_2,0,0,0,0,0,0,1,0,0,0,2.0,2.0,19541204.0,57.0,8.0,1.0,1.0,1.0,0.0,1.0,2.0,,3.0,1.0,,70.0,2.0,,3.0,2.0,64.0,,1.0,1.0,1.0,6.0,6.0,9.0,0.0,2.0,,,13.0,,,2.0,,,13.0,24.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647_5_2,0,0,0,1,0,0,0,0,0,0,2.0,2.0,19670501.0,45.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,,3.0,1.0,,63.0,2.0,,3.0,2.0,70.0,,1.0,1.0,1.0,5.0,4.0,6.0,3.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176_7_1,0,0,1,0,0,0,0,0,0,0,2.0,1.0,19530821.0,59.0,0.0,4.0,,,0.0,1.0,2.0,,1.0,2.0,45.0,,2.0,,1.0,2.0,47.0,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,2.0,,,2.0,,,2.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328_8_1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,19650716.0,47.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,,,,,1.0,5.0,,,,,1.0,1.0,1.0,1.0,8.0,2.0,0.0,2.0,,,4.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512_8_1,0,0,0,0,0,1,0,0,0,0,1.0,1.0,19460415.0,66.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,2.0,77.0,,2.0,,1.0,2.0,79.0,,1.0,1.0,1.0,2.0,4.0,3.0,0.0,2.0,,,13.0,,,2.0,,,13.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431_4_1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,19360305.0,76.0,6.0,1.0,1.0,2.0,0.0,1.0,2.0,,2.0,2.0,77.0,,2.0,,2.0,2.0,70.0,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,,,13.0,,,2.0,,,13.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31_8_1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,19590912.0,53.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,,1.0,1.0,,82.0,2.0,,1.0,2.0,60.0,,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,,,13.0,,,2.0,,,13.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174_2_3,0,1,0,0,0,0,0,0,0,0,2.0,4.0,19780725.0,34.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,,,,,2.0,,7.0,2.0,72.0,,1.0,1.0,1.0,5.0,4.0,6.0,3.0,2.0,,,2.0,,,2.0,,,2.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
